_ - category - category,_ - name - name,_ - gi_fax,_ - cp_name,_ - gi_email,_ - cp_contact,_ - gi_website,_ - gi_telephone,_ - cp_designation,_ - address_line_4,_ - address_line_2,_ - address_line_3,_ - address_line_1,_ - hod_designation - hod_designation,_ - hod_name - hod_name,_ - hod_contact - hod_contact,_ - services - services
Regional Councils,Homagama Pradeshiya Sabhawa,, ,,[u' '],['http://'],,  ,,,,Pradeshiya SabhawaHomagama,,,,"Issue of Non Acquisition Certificates : Hiring of Play Grounds and Halls Belonging to the Pradeshiya Sabha :  Digging the Roads for Laying Water Pipes : Public Library Service  : Providing Ayurveda Medical : Maintenance of Children’s park : Environmental programs : Obtaining environmental protection permit  : Establishment and Maintenance of Community Centers : Opening and maintenance of pre- schools : Approval of Blocks of Land : Approval of the building plans : Issue of the certificate of conformity :  Assessment of property : Recovery of Assessment tax : Recovery of Entertainment tax : Issue of License for Public Performance : Providing License for Clubs : Issue of License for Sale of Meat : Leasing of Trade Stoles Belonging to Pradeshiya Sabha : Levying of taxes on Undeveloped Lands : Levying of taxes on Certain Lands : Registration of Changes of the Ownership of the Lands and Buildings. : Granting Trade License and Recovery of Trade Tax  : Recovery of Taxes for Vehicles and Animals : Miscellaneous development works : Acquisition of Roads : Acquisition of Lands : Transport of Garbage : Removal of Dangerous Trees : Action on Public Complaints : Issue Certificates of Street line : Granting Permission for Propaganda Notices for Public Attention : Garbage Disposal Activities : Obtaining Sewerage Disposal Services  : Drgging of Road for Plumbing :  Crematoriums and Cemeteries Service : Approval for Construction of Monuments in the Cemeteries : Naming of Roads : Supply of Various Information on the Area of Authority : Photic of of Streets,Public Places,Public Buildings"
Provincial Councils,Uva Provincial Road Development Department,055-2224783:055-2225486,Eng. P.M. Amarasekara ,prddup@gmail.com:,[u' 055-2224781'],['http://www.roaddept.up.gov.lk'],055-2229626: 055-2225486: 055-2224781: 055-2225570: 055-2225012, Chief Engineer (Planning ) ,Badulla,Office Building Complex,R.H.Gunawardana Mawatha,Uva Provincial Road Development Department,Provincial Director (Roads),Eng. K.A.B. Senevirathne,"055-2224781, 055-2229626, 055-2225486
",Building  limit : Road Reservations
Presidential Secretariat,Presidential Secretariat,+94 11 2 340340,Mr. C.P.Mallikarachchi ,ps@presidentsoffice.lk:chanaki@presidentsoffice.lk,[u' +94 11 4354354'],['http://www.presidentsoffice.gov.lk'],+94 11 4 354354 , Assistant Director (Information & Communication Technology) ,,,,"Presidential Secretariat
Galle FaceColombo 01.",Secretary to the President,Mr. Austin Fernando,prsec@presidentsoffice.lk,
Urban Councils,Kesbewa Urban Council,+94-11-2618102,secretory ,,[u' '],['http://'],+94-11-2618100 /+94-11-2614201,  ,,Piliyandala.,,Samarakoon Mawatha,,,,Obtaining Environmental Permits : Obtaining a New Assessement Number : Changing of Assessment Ownership : Obtaining Assessment Reports for New Assessment Numbers : Obtaning a Non-Acquisition Certificate : Approval for Blocking Out Plan : Approval for Building Plans : Obtaining Building Line Certificate/ Street Line Certificates : Obtaining a Certificate of Conformity : Digging of Streets/Roads for Providing Services : Obtaining Trade Permits for Small and Medium Scale Enterprises : Obtaining Trade Permits for Hotels and Industries : Obtaining Applications for Library Membership : Registration of Praja Mandala  : Obtaining the Service of Crematorium  : Interment of Ashes/Remains : Obtaining the Garbage Management Service : Obtaining Sewerage Disposal Service  : Providing  Anti-Rabies Vaccination for Dogs and Depoprovara  Vaccination for Female Dogs : Conducting Programmes for Prevention of Contagious Diseases : Taking Over of Roads and Development Activities : Naming Roads : Repairing Street Lights : Removal of Harmful Trees : Removal of Unauthorized Constructions : Obtaining Ayurvedic Clinical Services : Reservation of Playground : Reservation of the Theatre  : Payment Of Assessment
Government Banks,State Mortgage and Investment Bank,+94 11 2573346,Mr. Sanath Wijethunga ,gm@smib.lk,[u' +94 11 7722822'],['http://www.smib.lk'],+94 11 7722722, Assistant General Manager - Information Technology ,,Galle Road,Colombo 03.,269,General Manager,Mr. W. M. Dayasinghe,+94 11 7722733,Housing Loans : Technical Loan : Loans for tourism industry : Vehicle Loans : Savings Deposits : Children's Savings Deposits : Fixed Deposits : Loans against Fixed Deposits : Personal Loans
Government Banks,Sri Lanka Savings Bank,011-2674704-6,Mr. Rohan Wijesundera ,info@slsbl.lk,[u' 011-2674711'],['http://www.slsbl.lk'],011-2691721-2: 011-2674700-3         , Compliance Officer ,,Ward Place, Colombo 07.,265,Chairman,Mr. K Amerasinghe,"

0112674711, 0112691721-2",Ordinary Savings Accounts : Minor's Savings Accounts : Daily Deposit Collection Service : Ladies' Savings Account : Senior Citizen's Savings Account : Term Deposit Accounts : Small Enterprise Development Loans : Small & Medium Scale Loans : Personal Loans : Leasing 
Government Banks,Lankaputhra Development Bank,011 2821031,Mr. Sumeda Edirisuriya ,info@lankaputhra.lk,[u' 011 2821025'],['http://www.lankaputhra.lk'],011 2821030 / 011 2821035, Chief Financial Officer ,,Nawala road,Nugegoda,No 80,Chairman,Deshabandu K. H. Lasantha Goonawardena,011 2821015,obtain Individual Savings Accounts : Open a Joint Account : Open Limited Liability Accounts : Open Sole Proprietorship Account : Obtain a Partnership Accounts : Open Clubs and Societies Accounts : Open a Minor Savings Accounts : Obtain Other Savings Accounts : To Obtain Time Deposits : Obtain a Project Loan : Obtain a lone for self employment projects. : Obtain Working Capital Loans : Obtain Special Project Loans : Obtain Other Special Project Loans : Obtain a Lease : Obtain Other Services
Other Government Organizations,University of Vocational Technology (UNIVOTEC),94112630705,Mrs. T.K. Malwatta  ,vc@univotec.ac.lk,[u' '],['http://http://www.univotec.ac.lk'],94-0112630700, Senior Lecturer ,, Kandawala Road,,No.100,Vice Chancellor,Dr T.A. Piyasiri ,94-0112630704,Bachelor of Education in Technology : Bachelor of Education in Technology (English Language Teaching) : Bachelor of Technology in ICT (Multimedia & Web Technology)  : Bachelor of Technology in ICT (Network Technology) : B.Tech. in ICT (Software Technology) : Degree Programmes
Government Banks,People's Bank,+94 112 380 516,Mrs. Yugani Mendis ,info@peoplesbank.lk,[u' 0112-481447'],['http://www.peoplesbank.lk'],+94 112 481 481: +94 112 481482, Assistant General Manager  - Marketing & Public Affairs ,, Sir Chittampalam A. Gardiner Mawatha, Colombo 02.,People's Bank - Head OfficeNo. 75,Chairman - People's Bank,Mr. Hemasiri Fernando,0112-329822,Children Accounts  : Saving Account for Youth : Savings Accounts for Women : Accounts for Senior Citizens - Parinatha : Other Savings Accounts  : Current Accounts  : Fixed Deposits  : Housing Loan Facilities : Commercial Loan Facilities : Development Loan Facilities : Agricultural Loan Facilities : Personal Loan Schemes for Professionals : Personal Loan Facilities : Pawning Facility  : Corporate Banking Facilities : Credit Card Facilities : Bank Guarantee Facility : e-Banking Facility : Investment in Government Securities : Other Services  : Our Worldwide Partners : Overseas Customer Service : Safe Deposit Lockers : Treasury Service 
Commissions,University Grants Commission,+94 11 2 688045,Dr. B. N. S. Lankasena  ,nalaka@ugc.ac.lk,[u' +94 11 2 685502'],['http://www.ugc.ac.lk'],+94 11 2 695301: +94 11 2 695302: +94 11 2 692357: +94 11 2 675854, Head/Higher Educational Information Technology Division ,,Ward Place, Colombo-07.,No: 20,Chairman,Prof. Mohan de Silva,+94 11 2 696511,Admission to a state funded University/Higher Educational Institute  : Obtaining Financial Assistance/Scholraships for Undergraduate Studies  : Obtaining a list of Universities established under the Universities Act No. 16 of 1978 : Verification of recognition of a Foreign University/Higher Educational Institue 
Government Banks,National Savings Bank,112379333,Mr.E.M.M.G. Ekanayake ,nsbgen@nsb.lk: ,[u' 0112372357'],['http://www.nsb.lk'],0112379379 (Call Centre), Asst. Genaral Managar (Administration) ,Sri Lanka, Galle Road,Colombo 3,"Head Office""Savings House""255",Chairman,Mr. Aswin De Silva,112573334,Savings Accounts : Fixed Deposits : Accounts for Childrens : Account for Teenagers : Accounts for Ladies : Accounts for Senior Citizens : Foreign Currency Accounts : Housing Loan Schemes : Personal Loans Schemes : Card Products : Ridee Rekha : Safety Deposit Locker Facility : Gift Tokens : Bill Payment Service : Correspondent Banks/Agents : Foreign Representatives : Eurogiro Postal Network : NSB Joins SWIFT : NSB Fund Management Company Ltd : Loan Centers : NSB Call Centre
Boards,Sri Lanka Tea Board,011-2589132, ,,[u' '],['http://www.pureceylontea.com'],011-2587814,  ,, Galle Road,Colombo 3.,No.574,,,,Factory Registration : Permits for Leaf Dealers : Permits for refuse tea : Payment for green leaf suppliers : Quality of the Factory : Tea Exporter Registration
Authorities,Vocational Training Authority of Sri Lanka,+94-11-2581914,Miss. P.L.M.K.Bandara ,chairman@vtasl.gov.lk,[u' +94 112 597186'],['http://www.vtasl.gov.lk'],+94-11-2596516-7, System Analyst ,Narahenpita," ""Nipunatha Piyasa""",Elvitigala Mawatha,354/2,Chairman,Mr. Priyadharshana Rathnayake,112581904,"Providing vocational training for the youths : Facilitating to the vocational training graduates for further training ,job placement or self employ : Conducting career guidance and counseling programs : Entrepreneurship Development programs : Conducting Trade Test according to  the requirements of institutions : Obtaining Necessary Services under Different Field from the Production Units : Vocational Skills for Public and Private Sector Institutions"
