category,name,address_line_1,address_line_2,address_line_3,address_line_4,address_line_5,hod_designation,hod_name,hod_contact,cp_designation,cp_name,cp_contact,gi_telephone,gi_fax,gi_email,gi_website,misc_info,services - services
Urban Councils,Kesbewa Urban Council,Samarakoon Mawatha,Piliyandala.,,,,,,,  ,secretory , , +94-11-2618100 /+94-11-2614201, +94-11-2618102, ,http://,,Obtaining Environmental Permits : Obtaining a New Assessement Number : Changing of Assessment Ownership : Obtaining Assessment Reports for New Assessment Numbers : Obtaning a Non-Acquisition Certificate : Approval for Blocking Out Plan : Approval for Building Plans : Obtaining Building Line Certificate/ Street Line Certificates : Obtaining a Certificate of Conformity : Digging of Streets/Roads for Providing Services : Obtaining Trade Permits for Small and Medium Scale Enterprises : Obtaining Trade Permits for Hotels and Industries : Obtaining Applications for Library Membership : Registration of Praja Mandala  : Obtaining the Service of Crematorium  : Interment of Ashes/Remains : Obtaining the Garbage Management Service : Obtaining Sewerage Disposal Service  : Providing  Anti-Rabies Vaccination for Dogs and Depoprovara  Vaccination for Female Dogs : Conducting Programmes for Prevention of Contagious Diseases : Taking Over of Roads and Development Activities : Naming Roads : Repairing Street Lights : Removal of Harmful Trees : Removal of Unauthorized Constructions : Obtaining Ayurvedic Clinical Services : Reservation of Playground : Reservation of the Theatre  : Payment Of Assessment
Urban Councils,Kalutara Urban Council,Urban Council - KalutaraNo.2, Kalutara South.,,,,Chairman of Council,Deshakeerthi Al Haj M.M.M Jauffer,+94 34 2222277, Secretary ,Mr. Asoka Ranasinghe , +94 34 2222285, +94 34 2222273/75, +94 34 226276, info@kalutara.uc.gov.lk,http://www.kalutara.uc.gov.lk,,"APPROVING OF BUILDING PLANS : ISSUE OF CERTIFICATE OF CONFORMITY : ISSUE OF STREET LINE CERTIFICATES : EXCISE CONTROL OVER UNAUTHORISED CONSTRUCTIONS : CUTTING OF TREES THAT WOULD POSE TREATS : REPAIR OF STREET LAMPS : ROADS MAINTENANCE  : MAINTAINING OF COUNCIL BUILDINGS : MAINTAINING OF CEMETARIES, PAVEMENTS, ROUNDABOUTS, COUNCILS PLAY GROUNDS, PARKS,  : MAINTAINING OF PUBLIC BATHING, WELLS, PUBLIC BUS HALTS AND PUBLIC LAVATRINES : INFECTIOUS DISEASES CONTROL : GARBAGE COLLECTION AND DISPOSAL : CLEANING OF GRAINAGE SYSTEM : HOLDING      CLINICS : APPROVING OF BLOCK OF LAND"
Regional Councils,Homagama Pradeshiya Sabhawa,Pradeshiya SabhawaHomagama,,,,,,,,  , , , , , ,http://,,"Issue of Non Acquisition Certificates : Hiring of Play Grounds and Halls Belonging to the Pradeshiya Sabha :  Digging the Roads for Laying Water Pipes : Public Library Service  : Providing Ayurveda Medical : Maintenance of Children’s park : Environmental programs : Obtaining environmental protection permit  : Establishment and Maintenance of Community Centers : Opening and maintenance of pre- schools : Approval of Blocks of Land : Approval of the building plans : Issue of the certificate of conformity :  Assessment of property : Recovery of Assessment tax : Recovery of Entertainment tax : Issue of License for Public Performance : Providing License for Clubs : Issue of License for Sale of Meat : Leasing of Trade Stoles Belonging to Pradeshiya Sabha : Levying of taxes on Undeveloped Lands : Levying of taxes on Certain Lands : Registration of Changes of the Ownership of the Lands and Buildings. : Granting Trade License and Recovery of Trade Tax  : Recovery of Taxes for Vehicles and Animals : Miscellaneous development works : Acquisition of Roads : Acquisition of Lands : Transport of Garbage : Removal of Dangerous Trees : Action on Public Complaints : Issue Certificates of Street line : Granting Permission for Propaganda Notices for Public Attention : Garbage Disposal Activities : Obtaining Sewerage Disposal Services  : Drgging of Road for Plumbing :  Crematoriums and Cemeteries Service : Approval for Construction of Monuments in the Cemeteries : Naming of Roads : Supply of Various Information on the Area of Authority : Photic of of Streets,Public Places,Public Buildings"
Government Hospitals,Lady Ridgeway Hospital for Children,Dr. Denister De Silva Mawatha,Colombo 08, Sri Lanka.,,,Hospital Director,Dr. W.K.Wickremasinghe,011 2691521, Public Management Assistant ,Ms. H.P.K.P. Kumari , 011 2693711 ext 307, 011 2693711: 011 2693712, 011 2686859, directorlrh@yahoo.com,http://www.lrh.health.gov.lk,Location Map,"Accident and animal bite casualty care for children : Out patient medical and surgical care for children : අන්තරාසර්ග  හා දියවැඩියා : General medical care for children : General surgical care for children : Heart (cardiology) care  for children : Eye (Opthalmology)  care for children : Ear, Nose and Throat (ENT) care for children : Skin (dermatology) care for children : Neurology care  for children : Kidney (nephrology) care for children : Orthopaedic care for children : Child Guidance / Psychiatric care for children : Rheumatological care for children : Cardiothoracic surgical care for children : Plastic surgical care for children : Cancer (oncological) care for children : Dental care for children : Child Immunization service : Occupational Therapy service for children : Physiotherapy service for children : Language and speech therapy service for children"
Government Banks,State Mortgage and Investment Bank,269,Galle Road,Colombo 03.,,,General Manager,Mr. W. M. Dayasinghe,+94 11 7722733, Assistant General Manager - Information Technology ,Mr. Sanath Wijethunga , +94 11 7722822, +94 11 7722722, +94 11 2573346, gm@smib.lk,http://www.smib.lk,,Housing Loans : Technical Loan : Loans for tourism industry : Vehicle Loans : Savings Deposits : Children's Savings Deposits : Fixed Deposits : Loans against Fixed Deposits : Personal Loans
Government Banks,People's Bank,People's Bank - Head OfficeNo. 75, Sir Chittampalam A. Gardiner Mawatha, Colombo 02.,,,Chairman - People's Bank,Mr. Hemasiri Fernando,0112-329822, Assistant General Manager  - Marketing & Public Affairs ,Mrs. Yugani Mendis , 0112-481447, +94 112 481 481: +94 112 481482, +94 112 380 516, info@peoplesbank.lk,http://www.peoplesbank.lk,Location Map,Children Accounts  : Saving Account for Youth : Savings Accounts for Women : Accounts for Senior Citizens - Parinatha : Other Savings Accounts  : Current Accounts  : Fixed Deposits  : Housing Loan Facilities : Commercial Loan Facilities : Development Loan Facilities : Agricultural Loan Facilities : Personal Loan Schemes for Professionals : Personal Loan Facilities : Pawning Facility  : Corporate Banking Facilities : Credit Card Facilities : Bank Guarantee Facility : e-Banking Facility : Investment in Government Securities : Other Services  : Our Worldwide Partners : Overseas Customer Service : Safe Deposit Lockers : Treasury Service 
Government Banks,Lankaputhra Development Bank,No 80,Nawala road,Nugegoda,,,Chairman,Deshabandu K. H. Lasantha Goonawardena,011 2821015, Chief Financial Officer ,Mr. Sumeda Edirisuriya , 011 2821025, 011 2821030 / 011 2821035, 011 2821031, info@lankaputhra.lk,http://www.lankaputhra.lk,,obtain Individual Savings Accounts : Open a Joint Account : Open Limited Liability Accounts : Open Sole Proprietorship Account : Obtain a Partnership Accounts : Open Clubs and Societies Accounts : Open a Minor Savings Accounts : Obtain Other Savings Accounts : To Obtain Time Deposits : Obtain a Project Loan : Obtain a lone for self employment projects. : Obtain Working Capital Loans : Obtain Special Project Loans : Obtain Other Special Project Loans : Obtain a Lease : Obtain Other Services
Government Banks,Regional Development Bank ,,,,,,Chairman ,Mr. Kasthuri Anuradhanayake,+94 11 203 54 60, Public Relation Officer ,Mr. Wasantha Kumarasiri , +94 11 203 54 85, +94 11 203 54 54, +94 11 290 68 77, info@rdb.lk,http://www.rdb.lk,"  : The Premier State Owned Development Bank in Sri Lanka.
Established under the Pradheshiya Sanwardana Bank Act No.41 of 2008. : Head Office,
No. 933,
Kandy Road, Wedamulla, 
Kelaniya (11600)
Sri Lanka. : Location Map",Interest Rates : RDB Accounts : RDB Loans : Branch Network : Vision and Mission : RDB Annual Reports : RDB Media : Make a Complaint
Government Banks,Sri Lanka Savings Bank,265,Ward Place, Colombo 07.,,,Chairman,Mr. K Amerasinghe,"

0112674711, 0112691721-2", Compliance Officer ,Mr. Rohan Wijesundera , 011-2674711, 011-2691721-2: 011-2674700-3         , 011-2674704-6, info@slsbl.lk,http://www.slsbl.lk,,Ordinary Savings Accounts : Minor's Savings Accounts : Daily Deposit Collection Service : Ladies' Savings Account : Senior Citizen's Savings Account : Term Deposit Accounts : Small Enterprise Development Loans : Small & Medium Scale Loans : Personal Loans : Leasing 
Divisional Secretariats,"Divisional Secretariat, Colombo",Divisional Secretary,Colombo Divisional Secretariat,Dam Street,Colombo 12.,,Divisional Secretary,Mr.D.P.Wickramasinghe,011-2434902, Assistant Divisional Secretary ,Mrs.M.A.S.Kanchana Gunawardhana , 011-2320572, 011-2437247, 011-2325512, ds@colombo.ds.gov.lk,http://www.colombo.ds.gov.lk,Location Map,Obtaining a Government Land Free of Charge : Obtaining Free Government Land Developed Unauthorized : L.L. permit to a Jayabhumi / Swarnabhumi grant : Obtaining Government Lands on Lease : The Unauthorized Developed Land Obtaining on Lease : Pay Valued Amount of Acquired Lands : Permit to fell trees : Obtaining Permits for Transporting Timber : Obtaining Permits for Transporting Furniture : Liquor Permit : Pawnbrokers License : Income Statement : Obtain Conductors License : Obtaining Public Assistance : Obtaining Assistance for Illness : Obtaining Probation Assistance : Obtaining Equipment for the Handicapped : Obtaining Funds in Case of Emergency : Causal Relief fund : Elderly and Child Welfare : Special Fund : Birth certificate from Divisional Secretariat : Copy of birth certificate from divisional secretariat : Make changes in the present birth certificate through divisional secretariat : Marriage certificate from divisional secretariat : Copy of Marriage certificate from divisional secretarit : Registration of Death Through Divisional Secretariat : Copy of death certificate from divisional secretaria : Obtain New Vehicle License (Three Wheeler / Motor Cycles) from Divisional Secretariat : Renewal of Vehicle License Through Divisional Secretariat : Civil Pension Schemes : Widows/Widowers and Orphans Pension Scheme : Appeal for Samurdhi relief : Handling of complaints of wrongfully obtained Samurdhi relief
